Conference Acronym	Conference Name	Conference Location	ResearchArea
ICMV 2023	SPIE--2023 The 16th International Conference on Machine Vision (ICMV 2023)	Yerevan, Armenia	ML
ACM ICSIM 2024	ACM--2024 The 7th International Conference on Software Engineering and Information Management (ICSIM 2024)	SuVa, Fiji	ML
IJCCSA 2023	International Journal on Cloud Computing: Services and Architecture 	N/A	ML
SIPR 2023	9th International Conference on Signal Processing and Pattern Recognition 	Vienna, Austria	ML
AIMLNET  2023	3rd International conference on AI, Machine Learning in Communications and Networks	Sydney, Australia	ML
DSML 2023	4th International Conference on Data Science and Machine Learning	Vienna, Austria	ML
NLMLT 2023	2nd International Conference on NLP and Machine Learning Trends	Dubai, UAE	ML
IJCSITCE 2023	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A	ML
ITEORY  2023	International Conference on Information Theory and Machine Learning	Virtual Conference	ML
ARIA 2023	10th International Conference on Artificial Intelligence & Applications	Vienna, Austria	ML
MLDS 2023	4th International Conference on Machine Learning Techniques and Data Science	Sydney, Australia	ML
ACII 2023	Advanced Computational Intelligence: An International Journal	N/A	ML
IJASSN 2023	International Journal of Advanced Smart Sensor Network Systems	N/A	ML
AI 2023	9th International Conference on Artificial Intelligence and Applications	Sydney, Australia	ML
NLAI 2023	4th International Conference on NLP & Artificial Intelligence Techniques	Sydney, Australia	ML
DSA  2023	4th International Conference on Data Science and Applications 	London, United Kingdom	ML
UBIC 2023	14th International Conference on Ubiquitous Computing	Sydney, Australia	ML
CORAJ  2023	International Conference on Operations Research and Applications 	Virtual Conference	ML
ENERGY 2023	International Conference on Energy	Virtual Conference	ML
BIOM 2023	3rd International Conference on Big Data, IoT and Machine Learning  	Zurich, Switzerland	ML
CST 2023	10th International Conference on Foundations of Computer Science & Technology	Dubai, UAE	ML
IJANS 2023	International Journal on AdHoc Networking Systems	N/A	ML
AIAA 2023	13th International Conference on Artificial Intelligence, Soft Computing and Applications	London, United Kingdom	ML
ACITY 2023	13th International Conference on Advances in Computing and Information Technology	London, United Kingdom	ML
SDMPR 2023	2023 Asia Conference on Statistics, Data Mining and Pattern Recognition (SDMPR 2023)	Sanya, China	ML
CTCM  2023	9th International Conference of Control Theory and Computer Modelling	Vienna, Austria	ML
AISO 2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich, Switzerland	ML
NeTIOT 2023	4th International Conference on Networks & IOT	 Dubai, UAE	ML
AISO 2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich, Switzerland	ML
IJCACS 2023	International Journal of Control, Automation, Communication and Systems	N/A	ML
IJCSES 2023	International Journal of Computer Science and Engineering Survey	N/A	ML
BIOS 2023	9th International Conference on Bioinformatics & Biosciences 	Sydney, Australia	ML
IJCSA 2023	International Journal on Computational Science & Applications	N/A	ML
SIPIJ 2023	Signal & Image Processing : An International Journal - WJCI Listed, H index - 33	N/A	ML
CNDC 2023	10th International Conference on Computer Networks & Data Communications 	London, United Kingdom	ML
SEAU 2023	2nd International Conference on Software Engineering and Automation	Dubai, UAE	ML
SEMIT 2023	4th International Conference on Software Engineering and Managing Information Technology	Sydney, Australia	ML
VLSIE 2023	4th International Conference on VLSI & Embedded Systems	Dubai, UAE	ML
IJCSIT 2023	International Journal of Computer Science and Information Technology - h-index 54	N/A	ML
ISTECH 2023	International Conference on Information Science and Techniques 	Virtual Conference	ML
CSEN 2023	International Conference on Computer Science and Engineering 	Vienna, Austria	ML
NLPTA 2023	4th International Conference on NLP Techniques and Applications	London, United Kingdom	ML
BIOS 2023	9th International Conference on Bioinformatics & Biosciences 	Sydney, Australia	ML
NMOCT  2023	9th International Conference on Networks, Mobile Communications and Telematics	Sydney, Australia	ML
NLDM 2023	3rd International Conference on NLP & Data Mining	Zurich, Switzerland	ML
DPPR 2023	13th International Conference on Digital Image Processing and Pattern Recognition	London, United Kingdom	ML
WiMoA 2023	15th International Conference on Wireless, Mobile Network & Applications	Sydney, Australia	ML
MEIJ 2023	Mechanical Engineering: An International Journal	N/A	ML
COIT 2024	4th International Conference on Computing and Information Technology	Copenhagen, Denmark	ML
IJSCMC 2023	International Journal of Soft Computing, Mathematics and Control 	N/A	ML
NIAI 2024	5th International Conference on Natural Language Processing, Information Retrieval and AI	Zurich, Switzerland	ML
SIGML 2024	5th International Conference on Signal Processing and Machine Learning 	Zurich, Switzerland	ML
IJBISS 2023	International Journal of Business Information Systems Strategies	N/A	ML
ANTJ 2023	Advanced Nanoscience and Technology: An International Journal 	N/A	ML
IJDKP 2023	International Journal of Data Mining & Knowledge Management Process	N/A	ML
MLAIJ 2023	Machine Learning and Applications: An International Journal 	N/A	ML
