Conference Acronym	Year	Conference Name	City	Country	ResearchArea
ACM ICSIM	2024	ACM--2024 The 7th International Conference on Software Engineering and Information Management (ICSIM 2024)	SuVa	 Fiji	ML
ICMV	2023	SPIE--2023 The 16th International Conference on Machine Vision (ICMV 2023)	Yerevan	 Armenia	ML
MLDS	2023	4th International Conference on Machine Learning Techniques and Data Science	Sydney	 Australia	ML
BIOM	2023	3rd International Conference on Big Data, IoT and Machine Learning	Zurich	 Switzerland	ML
DSA 	2023	4th International Conference on Data Science and Applications	London	 United Kingdom	ML
UBIC	2023	14th International Conference on Ubiquitous Computing	Sydney	 Australia	ML
BIOS	2023	9th International Conference on Bioinformatics & Biosciences	Sydney	 Australia	ML
NLAI	2023	4th International Conference on NLP & Artificial Intelligence Techniques	Sydney	 Australia	ML
ACITY	2023	13th International Conference on Advances in Computing and Information Technology	London	 United Kingdom	ML
CTCM 	2023	9th International Conference of Control Theory and Computer Modelling	Vienna	 Austria	ML
AISO	2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich	 Switzerland	ML
CST	2023	10th International Conference on Foundations of Computer Science & Technology	Dubai	 UAE	ML
NeTIOT	2023	4th International Conference on Networks & IOT	Dubai	 UAE	ML
DSML	2023	4th International Conference on Data Science and Machine Learning	Vienna	 Austria	ML
SEAU	2023	2nd International Conference on Software Engineering and Automation	Dubai	 UAE	ML
BIOS	2023	9th International Conference on Bioinformatics & Biosciences	Sydney	 Australia	ML
NLPTA	2023	4th International Conference on NLP Techniques and Applications	London	 United Kingdom	ML
SDMPR	2023	2023 Asia Conference on Statistics, Data Mining and Pattern Recognition (SDMPR 2023)	Sanya	 China	ML
ARIA	2023	10th International Conference on Artificial Intelligence & Applications	Vienna	 Austria	ML
VLSIE	2023	4th International Conference on VLSI & Embedded Systems	Dubai	 UAE	ML
SEMIT	2023	4th International Conference on Software Engineering and Managing Information Technology	Sydney	 Australia	ML
CSEN	2023	International Conference on Computer Science and Engineering	Vienna	 Austria	ML
NMOCT 	2023	9th International Conference on Networks, Mobile Communications and Telematics	Sydney	 Australia	ML
NLDM	2023	3rd International Conference on NLP & Data Mining	Zurich	 Switzerland	ML
AIMLNET 	2023	3rd International conference on AI, Machine Learning in Communications and Networks	Sydney	 Australia	ML
DPPR	2023	13th International Conference on Digital Image Processing and Pattern Recognition	London	 United Kingdom	ML
WiMoA	2023	15th International Conference on Wireless, Mobile Network & Applications	Sydney	 Australia	ML
AI	2023	9th International Conference on Artificial Intelligence and Applications	Sydney	 Australia	ML
SIPR	2023	9th International Conference on Signal Processing and Pattern Recognition	Vienna	 Austria	ML
NLMLT	2023	2nd International Conference on NLP and Machine Learning Trends	Dubai	 UAE	ML
AISO	2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich	 Switzerland	ML
AIAA	2023	13th International Conference on Artificial Intelligence, Soft Computing and Applications	London	 United Kingdom	ML
Civo Navigate NA	2024	Civo Navigate North America 2024	Austin	 USA	ML
MoWiN 	2024	13th International Conference on Mobile & Wireless Networks	Zurich	 Switzerland	ML
RoboCom	2024	International Workshop on Communication and Networking for Swarms Robotics	Las Vegas	 USA	ML
IOTBS	2024	4th International Conference on IOT, Big Data and Security	Copenhagen	 Denmark	ML
ICCIoT	2024	5th International Conference on Cloud and Internet of Things	Zurich	 Switzerland	ML
NIAI	2024	5th International Conference on Natural Language Processing, Information Retrieval and AI	Zurich	 Switzerland	ML
COIT	2024	4th International Conference on Computing and Information Technology	Copenhagen	 Denmark	ML
CNSA	2024	17th International Conference on Network Security & Applications	Zurich	 Switzerland	ML
SIGML	2024	5th International Conference on Signal Processing and Machine Learning	Zurich	 Switzerland	ML
AIMLA	2024	4th International Conference on AI, Machine Learning and Applications	Copenhagen	 Denmark	ML
ITCON	2023	9th International Conference on Information Technology Converge Services	Dubai	 UAE	ML
VISAPP	2024	19th International Conference on Computer Vision Theory and Applications	Rome	 Italy	ML
ICAIA	2023	3rd Annual International Conference on Artificial Intelligence and Applications	Shenzhen	 China	ML
MLTEC	2023	4th International Conference on Machine Learning Techniques	Dubai	 UAE	ML
DIFM	2023	First Workshop on Distributed infrastructures for foundation models	Bologna	 Italy	ML
ICPRAM	2024	13th International Conference on Pattern Recognition Applications and Methods	Lisbon	 Portugal	ML
VISAPP	2024	19th International Conference on Computer Vision Theory and Applications	Lisbon	 Portugal	ML
SIGEM	2023	9th International Conference on Signal, Image Processing and Embedded Systems	Dubai	 UAE	ML
MLESP	2023	The 4th International Workshop on Machine Learning for EEG Signal Processing	Istanbul	 Turkey	ML
Affective-Health	2023	1st International Workshop on Affective Computing and Health Care: new research and industrial perspectives	Istanbul	 Turkey	ML
BioCreative VIII	2023	BioCreative VIII Challenge and Workshop @ AMIA	New Orleans	 USA	ML
ICFIT--ESCI	2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau	 China	ML
BANDIT	2023	1st International Workshop on Big dAta aNalysis anD Illicit Trends	Sorrento	 Italy	ML
BigDataAnalytics	2023	Big-Big Data Analytics Competition (CyberC, IEEE TCCC, IEEE TC @ BD)	Suzhou	 China	ML
BDSN	2023	The 11th International workshop on Big Data and Social Networking Management and Security	Abu Dhabi	 UAE	ML
AISTATS	2024	27th International Conference on Artificial Intelligence and Statistics	Valencia	 Spain	ML
DSEA 	2023	The 7th International Workshop on Data Science Engineering and its Applications	Abu Dhabi	 UAE	ML
OSNT	2023	The 9th International Workshop on Online Social Networks Technologies	Abu Dhabi	 UAE	ML
GMLR @ ACM SAC	2024	ACM SAC Track on Graph Models for Learning and Recognition	Avila	 Spain	ML
ANLP	2023	The 7th International Workshop on Advances in Natural Language Processing	Abu Dhabi	 UAE	ML
SAMSN 	2023	The 6th International Workshop on Sentiment Analysis and Mining of Social Networks	Abu Dhabi	 UAE	ML
CNS 	2024	The International Workshop on Cognitive and Neural Systems	Abu Dhabi	 UAE	ML
BigComp	2024	2024 International Conference on  Big Data and Smart Computing	Bangkok	 Thailand	ML
AIMHC	2024	First IEEE International Conference on AI for Medicine, Health, and Care	Laguna Hills	 USA	ML
ICMLSC--EI	2024	2024 8th International Conference on Machine Learning and Soft Computing (ICMLSC 2024)	Singapore	 Singapore	ML
OrMeKR	2023	Ordinal Methods for Knowledge Representation and Capture @ K-Cap 2023	Pensacola	 USA	ML
EAI ICISML 	2024	EAI 3rd International Conference on Intelligent Systems and Machine Learning	Pune	 India	ML
ICSC	2024	IEEE International Conference on Semantic Computing	Laguna Hills	 USA	ML
AI4PMI	2023	Workshop on Artificial Intelligence for Predictive Maintenance and IIoT	Giza	 Egypt	ML
CAIDS	2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad	 Pakistan	ML
CECCT	2023	2023 International Conference on Electronics, Computers and Communication Technology (CECCT 2023)	Guilin	 China	ML
FinTOC 	2023	FNP-2023 Shared Task - FinTOC (Financial Document Structure Extraction)	Sorrento	 Italy	ML
FOW	2023	Future of War Call For Papers	Washington DC	 USA	ML
MLHMI	2024	2024 5th International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2024)	Kawasaki	 Japan	ML
ACM ICMVA	2024	ACM--2024 The 7th International Conference on Machine Vision and Applications (ICMVA 2024)	Singapore	 Singapore	ML
ICCRD	2024	2024 The 16th International Conference on Computer Research and Development (ICCRD 2024)	Chengdu	 China	ML
CSCT	2023	Congress on Smart Computing Technologies	New Delhi	 India	ML
ICCTech--Ei	2024	2024 the 3rd International Conference on Computer Technologies (ICCTech 2024)	Bali	 Indonesia	ML
ICSCA	2024	ACM--2024 13th International Conference on Software and Computer Applications (ICSCA 2024)	Bali	 Indonesia	ML
ICCIS	2023	5th International Conference on Communication and Intelligent Systems	Jaipur	 India	ML
SOFE 	2024	10th International Conference on Software Engineering	Vancouver	 Canada	ML
ADCOM	2024	10th International conference on Advanced Computing	Vancouver	 Canada	ML
MLSC	2024	5th International Conference on Machine Learning and Soft Computing	Vancouver	 Canada	ML
ACM-Ei/Scopus-AIHPC	2023	2023 International Conference on Artificial Intelligence and High-Performance Computing (AIHPC 2023) -EI Compendex	Chengdu	 China	ML
IPMI	2024	2024 International Conference on Image Processing and Machine Intelligence (IPMI 2024)	Batangas City	 Philippines	ML
IEEE Xplore-Ei/Scopus-DMCSE	2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu	 China	ML
ACM-EI/Scopus-PRDM	2023	2023 4th International Conference on Pattern Recognition and Data Mining (PRDM 2023) -EI Compendex	Sanya	 China	ML
ACM-Ei/Scopus-MLBDM	2023	2023 3rd International Conference on Machine Learning and Big Data Managementï¼MLBDM 2023ï¼-EI Compendex	Sanya	 China	ML
ACMLC	2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok	 Thailand	ML
IEEE Xplore-Ei/Scopus-ANHMI	2023	2023 International Conference on Algorithms, Networking and HumanâMachine Interaction (ANHMI 2023) -EI Compendex	Chengdu	 China	ML
ACM-Ei/Scopus-MICML 	2023	2023 International Conference on Mathematics, Intelligent Computing and Machine Learning (MICML 2023) -EI Compendex	Chengdu	 China	ML
ACDSA	2024	International Conference on Artificial Intelligence, Computer, Data Sciences and Applications	Mahe	 Seychelles	ML
evostar	2024	EvoStar 2024 - The Leading European Event on BioâInspired Computation	Aberystwyth	 UK	ML
AMLSP	2023	2023 5th International Conference on Algorithms, Machine Learning and Signal Processing (AMLSP 2023)	Bangkok	 Thailand	ML
6th AccML	2024	6th Workshop on Accelerated Machine Learning (AccML)	Munich	 Germany	ML
FAIML 	2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing	 China	ML
CVPR	2024	The IEEE/CVF Conference on Computer Vision and Pattern Recognition	Seattle	 USA	ML
CSTE--Ei	2024	2024 The 6th International Conference on Computer Science and Technologies in Education (CSTE 2024)	Xi'an	 China	ML
CAMEE	2023	2023 2nd International Conference on Mechanical, Automation and Electrical Engineering (CAMEE 2023)	Chengdu	 China	ML
PeRConAI	2024	3rd International Workshop on Pervasive and Resource-Constrained Artificial Intelligence	Biarritz	 France	ML
IDA	2024	The 22nd International Symposium on Intelligent Data Analysis	Stockholm	 Sweden	ML
CISNS	2023	2023 4th International Conference on Information System and Network Security (CISNS 2023)	Sanya	 China	ML
MLAMDA 	2023	2023 Asia Conference on Machine Learning, Algorithms, Modeling and Data Analysis (MLAMDA 2023)	Xiamen	 China	ML
MLNLP	2023	2023 6th International Conference on Machine Learning and Natural Language Processing (MLNLP 2023)	Sanya	 China	ML
AIDBEI	2024	AIDBEI2024: Diversity Workshop on Artificial Intelligence - Diversity, Belonging, Equity, and Inclusion	Vancouver	 Canada	ML
smart health	2023	1ST INTERNATIONAL WORKSHOP ON SMART HEALTH	Leuven	 Belgium	ML
ICCAI--EI	2024	2024 10th International Conference on Computing and Artificial Intelligence (ICCAI 2024)	Bali	 Indonesia	ML
MSR4P&S	2024	2nd International Workshop on MSR Applications for Privacy and Security	Rovaniemi	 Finland	ML
